Datetime,Text,Username
2022-09-05 12:30:38+00:00,"#PedoHitler #LetsGoBrandon #biden 
#MAGA #stoptheSteal #rigged #trump https://t.co/FjCRPalyom https://t.co/1fyBMuZeqO",SidTheSloth888
2022-09-04 07:52:37+00:00,"#CheWhu #hunter #USOpen                   #DutchGP #biden #MAGA #stoptheSTEAL #Rigged #Trump #SundayMorning #boris
#EVELIV #sunday #FJB #FBl
#Ukraine #russia #energiecrisis  #robbed #UFCParis #mendy
#PedoHitler #westham #wwecastle #kettle #LizTruss 🦎 https://t.co/wdKF9shX1x",SidTheSloth888
2022-09-04 07:50:23+00:00,"#CheWhu #hunter #USOpen                   #DutchGP #biden #MAGA #stoptheSTEAL #Rigged #Trump #SundayMorning #boris
#EVELIV #sunday #FJB #FBl
#Ukraine #russia #energiecrisis  #robbed #UFCParis   #mendy
#PedoHitler #westham #wwecastle #kettle #LizTruss 🦎 https://t.co/0uASoVgMl3",SidTheSloth888
2022-09-04 07:48:53+00:00,"#CheWhu #hunter #USOpen                   #DutchGP #biden #MAGA #stoptheSTEAL #Rigged #Trump #SundayMorning #Boris 
#EVELIV #sunday #FJB #FBl
#Ukraine #russia #energiecrisis  #robbed #UFCParis  #mendy
#PedoHitler #westham #wwecastle #kettle #LizTruss 🦎 https://t.co/GrPQ1tqHMh",SidTheSloth888
2022-09-04 07:30:39+00:00,"#CheWhu #hunter #USOpen                   #DutchGP #biden #MAGA #stoptheSTEAL #Rigged #Trump #SundayMorning
#EVELIV #sunday #FJB #FBl
#Ukraine #russia #energiecrisis  #robbed #UFCParis           #mendy
#PedoHitler #westham #wwecastle #kettle #LizTruss https://t.co/z5jwyJ7Fk6",SidTheSloth888
2022-09-04 07:23:29+00:00,"#CheWhu #hunter #USOpen                #DutchGP #biden #MAGA #stoptheSTEAL #Rigged #Trump #SundayMorning
#EVELIV #sunday #FJB #FBl
#Ukraine #russia #energiecrisis  #robbed #UFCParis             #mendy
#PedoHitler #westham #wwecastle #kettle #LizTruss 🦎 https://t.co/UtClveXs6D",SidTheSloth888
2022-09-04 06:52:54+00:00,"#CheWhu #Sunday #hunter #USOpen                #DutchGP #biden #MAGA #stoptheSTEAL #Rigged #Trump #SundayMorning
#EVELIV #FJB #FBl
#Ukraine #russia #energiecrisis  #robbed #UFCParis             #mendy
#PedoHitler #westham #wwecastle #kettle #LizTruss 🦎 https://t.co/QLV6AE3Bo8",SidTheSloth888
2022-09-04 06:41:58+00:00,"#CheWhu #SundayFunday #hunter #USOpen             #DutchGP #biden #MAGA #stoptheSTEAL #Rigged #Trump #SundayMorning
#EVELIV #sunday #FJB #FBl
#Ukraine #russia #energiecrisis  #robbed #UFCParis          #mendy
#PedoHitler #westham #wwecastle #kettle #LizTruss https://t.co/WWggQBCVxB",SidTheSloth888
2022-09-03 12:39:35+00:00,"#CheWhu #SerenaWilliams #hunter #USOpen #DutchGP #biden #MAGA #stoptheSTEAL #Rigged #TrumpWON 
#EVELIV #newcry #Caturday #FJB #FBl
#Ukraine #russia #energiecrisis 
#PedoHitler

#Trump Hints His Arrest May be Imminent on TruthSocial https://t.co/FMJzXm8qLB https://t.co/BL4KMuUncK",SidTheSloth888
2022-08-14 05:50:58+00:00,"#crossfirehurricane #impeachbiden #trump2024 #obamagate #spygate #stopthesteal 

FBI Agent Who Pushed False Trump-Russia Collusion Narrative Later Shut Down Hunter Biden Investigation | Truth Over News
https://t.co/VFYLbJB6zB https://t.co/8GpoycGcwv",StephenMuratore
2022-08-12 19:10:12+00:00,"#trump2024 #stopthesteal #impeachbiden 
Trump Is ‘Encouraging’ DOJ to Release Search Warrant that Led to Raid  https://t.co/w0ZvoPrskQ via @BreitbartNews",StephenMuratore
2022-08-12 05:58:43+00:00,#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup https://t.co/g03ID8eNGZ,cayce33
2022-08-12 05:07:39+00:00,#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup https://t.co/wjrY4lln4B,cayce33
2022-08-12 05:03:25+00:00,#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup https://t.co/pNFRRAlZUd,cayce33
2022-08-11 22:56:50+00:00,#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup https://t.co/yXLMpnSNxZ,cayce33
2022-08-11 22:53:32+00:00,"the demwits are on the run.
their fear is my joy and motivation.
WE WILL PREVAIL.
#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup",cayce33
2022-08-11 18:33:32+00:00,"the 3-letter agencies in america are the ONLY people in america who should be considered GUILTY until proven innocent.
#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup",cayce33
2022-08-10 18:29:08+00:00,#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup https://t.co/8CbJ3KVT2r,cayce33
2022-08-10 05:33:13+00:00,#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup https://t.co/K7F0WRXt6p,cayce33
2022-08-10 05:19:18+00:00,"we are not asking for our FREEDOM.
we are TAKING IT, by whatever means necessary.
#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup",cayce33
2022-08-10 04:20:38+00:00,"Was Judge Who Signed-Off on Sketchy FBI Search Warrant Raid of Trump Home, a Client Name in Ghislane Maxwells Little Black Book?
https://t.co/qKwq1cPQSq
#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #hillaryforprison #lockherup",cayce33
2022-08-10 01:35:21+00:00,"@BidensWins so, MORE THAN TWICE what it was under trump.
no wonder everyone hates you.
#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup",cayce33
2022-08-10 01:25:36+00:00,#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup https://t.co/wGpVOulO5b,cayce33
2022-08-10 01:21:43+00:00,"august 8th is the new january 6th.
#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup",cayce33
2022-08-10 00:12:34+00:00,#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup https://t.co/r2riOOoJR7,cayce33
2022-08-09 23:59:29+00:00,"paul sperry’s final tweet.
what is twitter afraid of?
#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup https://t.co/8IGa2YHhF7",cayce33
2022-08-09 23:53:11+00:00,#trump #trumpwon #ultraMAGA #freespeech #stopthesteal #fakenews #biden #bidenworstpresidentever #clintoncrimefamily #hillaryforprison #lockherup https://t.co/9KTFr17GwG https://t.co/2zxDYIitBo,cayce33
